[299/389] transformer.h.30.mlp.c_fc.weight (2560, 10240)
[300/389] transformer.h.30.mlp.c_proj.bias (2560,)
[301/389] transformer.h.30.mlp.c_proj.weight (10240, 2560)
[302/389] transformer.h.31.attn.c_attn.bias (7680,)
[303/389] transformer.h.31.attn.c_attn.weight (2560, 7680)
[304/389] transformer.h.31.attn.c_proj.bias (2560,)
[305/389] transformer.h.31.attn.c_proj.weight (2560, 2560)
[306/389] transformer.h.31.ln_1.bias (2560,)
[307/389] transformer.h.31.ln_1.weight (2560,)
[308/389] transformer.h.31.ln_2.bias (2560,)
[309/389] transformer.h.31.ln_2.weight (2560,)
[310/389] transformer.h.31.mlp.c_fc.bias (10240,)
[311/389] transformer.h.31.mlp.c_fc.weight (2560, 10240)
[312/389] transformer.h.31.mlp.c_proj.bias (2560,)
[313/389] transformer.h.31.mlp.c_proj.weight (10240, 2560)
[314/389] transformer.h.4.attn.c_attn.bias (7680,)
[315/389] transformer.h.4.attn.c_attn.weight (2560, 7680)
[316/389] transformer.h.4.attn.c_proj.bias (2560,)
[317/389] transformer.h.4.attn.c_proj.weight (2560, 2560)
[318/389] transformer.h.4.ln_1.bias (2560,)
[319/389] transformer.h.4.ln_1.weight (2560,)
[320/389] transformer.h.4.ln_2.bias (2560,)
[321/389] transformer.h.4.ln_2.weight (2560,)
[322/389] transformer.h.4.mlp.c_fc.bias (10240,)
[323/389] transformer.h.4.mlp.c_fc.weight (2560, 10240)
  wrote model-00002.safetensors (2.00 GiB) 439s
[324/389] transformer.h.4.mlp.c_proj.bias (2560,)
[325/389] transformer.h.4.mlp.c_proj.weight (10240, 2560)
[326/389] transformer.h.5.attn.c_attn.bias (7680,)
[327/389] transformer.h.5.attn.c_attn.weight (2560, 7680)
[328/389] transformer.h.5.attn.c_proj.bias (2560,)
[329/389] transformer.h.5.attn.c_proj.weight (2560, 2560)
[330/389] transformer.h.5.ln_1.bias (2560,)
[331/389] transformer.h.5.ln_1.weight (2560,)
[332/389] transformer.h.5.ln_2.bias (2560,)
[333/389] transformer.h.5.ln_2.weight (2560,)
[334/389] transformer.h.5.mlp.c_fc.bias (10240,)
[335/389] transformer.h.5.mlp.c_fc.weight (2560, 10240)
[336/389] transformer.h.5.mlp.c_proj.bias (2560,)
[337/389] transformer.h.5.mlp.c_proj.weight (10240, 2560)
[338/389] transformer.h.6.attn.c_attn.bias (7680,)
[339/389] transformer.h.6.attn.c_attn.weight (2560, 7680)
[340/389] transformer.h.6.attn.c_proj.bias (2560,)
[341/389] transformer.h.6.attn.c_proj.weight (2560, 2560)
[342/389] transformer.h.6.ln_1.bias (2560,)
[343/389] transformer.h.6.ln_1.weight (2560,)
[344/389] transformer.h.6.ln_2.bias (2560,)
[345/389] transformer.h.6.ln_2.weight (2560,)
[346/389] transformer.h.6.mlp.c_fc.bias (10240,)
[347/389] transformer.h.6.mlp.c_fc.weight (2560, 10240)
[348/389] transformer.h.6.mlp.c_proj.bias (2560,)
[349/389] transformer.h.6.mlp.c_proj.weight (10240, 2560)
[350/389] transformer.h.7.attn.c_attn.bias (7680,)
[351/389] transformer.h.7.attn.c_attn.weight (2560, 7680)
[352/389] transformer.h.7.attn.c_proj.bias (2560,)
[353/389] transformer.h.7.attn.c_proj.weight (2560, 2560)
[354/389] transformer.h.7.ln_1.bias (2560,)
[355/389] transformer.h.7.ln_1.weight (2560,)
[356/389] transformer.h.7.ln_2.bias (2560,)
[357/389] transformer.h.7.ln_2.weight (2560,)
[358/389] transformer.h.7.mlp.c_fc.bias (10240,)
[359/389] transformer.h.7.mlp.c_fc.weight (2560, 10240)
[360/389] transformer.h.7.mlp.c_proj.bias (2560,)
[361/389] transformer.h.7.mlp.c_proj.weight (10240, 2560)
[362/389] transformer.h.8.attn.c_attn.bias (7680,)
[363/389] transformer.h.8.attn.c_attn.weight (2560, 7680)
[364/389] transformer.h.8.attn.c_proj.bias (2560,)
[365/389] transformer.h.8.attn.c_proj.weight (2560, 2560)
[366/389] transformer.h.8.ln_1.bias (2560,)
[367/389] transformer.h.8.ln_1.weight (2560,)
[368/389] transformer.h.8.ln_2.bias (2560,)
[369/389] transformer.h.8.ln_2.weight (2560,)
[370/389] transformer.h.8.mlp.c_fc.bias (10240,)
[371/389] transformer.h.8.mlp.c_fc.weight (2560, 10240)
[372/389] transformer.h.8.mlp.c_proj.bias (2560,)
[373/389] transformer.h.8.mlp.c_proj.weight (10240, 2560)
[374/389] transformer.h.9.attn.c_attn.bias (7680,)
[375/389] transformer.h.9.attn.c_attn.weight (2560, 7680)
[376/389] transformer.h.9.attn.c_proj.bias (2560,)
[377/389] transformer.h.9.attn.c_proj.weight (2560, 2560)
[378/389] transformer.h.9.ln_1.bias (2560,)
[379/389] transformer.h.9.ln_1.weight (2560,)
[380/389] transformer.h.9.ln_2.bias (2560,)
[381/389] transformer.h.9.ln_2.weight (2560,)
[382/389] transformer.h.9.mlp.c_fc.bias (10240,)
[383/389] transformer.h.9.mlp.c_fc.weight (2560, 10240)
[384/389] transformer.h.9.mlp.c_proj.bias (2560,)
[385/389] transformer.h.9.mlp.c_proj.weight (10240, 2560)
[386/389] transformer.ln_f.bias (2560,)
[387/389] transformer.ln_f.weight (2560,)
[388/389] transformer.wpe.weight (1024, 2560)
[389/389] transformer.wte.weight (28896, 2560)
  wrote model-00003.safetensors (0.92 GiB) 523s
DONE biomedlm
